date,performance,accessibility,best_practices,seo
2026-06-10,47.33,95.33,80.67,89.67
2026-06-11,58.73,91.13,89.6,90.93
2026-06-12,53.39,92.49,90.4,86.93
2026-06-13,55.97,91.73,90.03,88.16
2026-06-14,55.82,92.35,90.15,87.84
2026-06-15,55,94,91.25,88.38
2026-06-16,52.97,92.58,90.74,85.8
2026-06-17,53.89,92.71,89.56,87.49
2026-06-18,55.03,92.28,90.1,87.11
2026-06-19,59.47,91.13,89.6,90.4
2026-06-20,51.33,95.33,79.33,89.67
2026-06-21,61,90.33,88.33,91.58
2026-06-22,52.11,92.27,89.95,87.31
2026-06-23,57.43,94.43,91.14,88.86
2026-06-24,59.67,94,91.33,85.89
2026-06-25,58.72,90.39,90.28,89.56
2026-06-26,56.55,92.63,90.78,87.87
2026-06-27,54.4,93.47,90.5,86.24
2026-06-28,57.33,94.67,87.67,83.83
2026-06-29,55,94,91.33,85.89
2026-06-30,48.33,95.33,82,89.67
2026-07-01,58,93.29,91.14,84.29
2026-07-02,51.53,92.74,90.83,85.67
2026-07-03,68,91,100,85
2026-07-04,56.29,93.71,90.57,86.71
2026-07-05,59.89,88.67,90.89,91.33
2026-07-06,62.09,92.09,90.45,90.36
2026-07-07,59.24,93.47,94.06,90.47
2026-07-08,50,95.33,82,89.67
2026-07-09,57.76,91.95,90.89,89
2026-07-10,0,0,0,0
