date,performance,accessibility,best_practices,seo
2026-08-03,49.67,95.33,82,89.67
2026-08-04,58.67,91.2,90.13,89.27
2026-08-05,59.73,91.2,90.13,89.27
2026-08-06,41,95.4,86.8,88.8
2026-08-07,50,95.33,82,89.67
2026-08-08,58.48,89.79,90.21,88.1
2026-08-09,41,95.33,82,89.67
2026-08-10,51.2,95.4,86.8,88.8
2026-08-11,46.83,94.17,89.33,89.25
2026-08-12,0,0,0,0
2026-08-13,40.2,95.4,86,88.8
2026-08-14,55.67,93.17,90.33,87.33
2026-08-15,52.66,92.44,92.03,85.87
2026-08-16,55.86,92.62,90.41,87.34
2026-08-17,53.71,93.71,90,86.71
2026-08-18,57.88,92.38,93.19,88
2026-08-19,60.75,91.06,90.75,88.81
2026-08-20,43.8,95.4,86,88.8
2026-08-21,38.67,95.33,82,89.67
2026-08-22,51.25,93.88,90.25,87.38
2026-08-23,39.6,95.4,86,88.8
2026-08-24,47.2,95.4,86,88.8
2026-08-25,52,94.2,92.6,89.9
2026-08-26,54.88,94,91.25,88.38
2026-08-27,47.86,94.43,90.57,88.86
2026-08-28,56.37,92.05,91.65,86.19
2026-08-29,61.38,90.08,92.77,88.62
2026-08-30,57.5,94,94,84
2026-08-31,52.65,91.9,91.52,86.49
2026-09-01,60.06,91.11,90.28,88.22
2026-09-02,0,0,0,0
